DATUMS;VALUTA;SUMMA;PARTNERA NOSAUKUMS;PARTNERA BANKA;PARTNERA BANKAS SWIFT KODS;TRANSAKCIJAS TIPS
24.12.2023;EUR;22,8;SIA PHOKUS           \Mukusalas iela 71\Riga\1004      LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
24.12.2023;EUR;38,18;Cili pizza - TC Alfa\Brivibas gatve 372\RIGA\LV-1006      LVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
24.12.2023;EUR;111,06;RIMI CHM Saga (Stopini\Bikeru iela 4\DREILINI\LV-2130      LVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
24.12.2023;EUR;249;SIA Tet-Brivibas\Brivibas gatve 372\Riga\LV-1006   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
27.12.2023;EUR;1,96;Orange Stuff\Juras iela 73\Engure\LV-3113   099LVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
27.12.2023;EUR;3,2;Orange Stuff\Juras iela 73\Engure\LV-3113   099LVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
27.12.2023;EUR;15,1;Orange Stuff\Juras iela 73\Engure\LV-3113   099LVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
27.12.2023;EUR;18,45;Orange Stuff\Juras iela 73\Engure\LV-3113   099LVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
27.12.2023;EUR;45,1;Orange Stuff\Juras iela 73\Engure\LV-3113   099LVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
28.12.2023;EUR;6,41;CITRO-VEIKALS-ENGURE\JURAS IELA 81  ENGURE\ENGURES NOV,\LV-3113      LVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
28.12.2023;EUR;13,74;Elvi-veikals-Engure\Juras iela 62, Engure\Engures nov,\LV-3113   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
29.12.2023;EUR;1,5;NYA*Coffee Address\1023 BIG\Riga\1014      LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
29.12.2023;EUR;1,5;NYA*Coffee Address\1023 BIG\Riga\1014      LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
29.12.2023;EUR;3,5;Stesavi-Azenes 12\Azenes iela 12\Riga\LV-1082   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
29.12.2023;EUR;4,39;PET CITY TUKUMS       \PASTA IELA 14             \TUKUMS, TUKUM\LV-3101   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
29.12.2023;EUR;11,95;Janis Roze-Tukums\Pasta iela 14\Tukums\LV-3101   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
29.12.2023;EUR;24,65;AIOO-Tukums\Pasta iela 14\Tukums\LV-3101   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
29.12.2023;EUR;37,96;LATVIJAS APTIEKA 3\Juras iela 60A, Engure\TUKUMA NOV,\LV-3113      LVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
30.12.2023;EUR;13,3;MCDONALDS 9059213 Jura\Karla Ulmana gatve 88\Riga\LV1046    RIXLVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
30.12.2023;EUR;17;Orange Stuff\Juras iela 73\Engure\LV-3113   099LVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
